countyfips,num_drug_death_t,year_t,num_drug_death_t_1,num_drug_death_t_2,num_drug_death_t_3,log_num_drug_death_t_1,log_num_drug_death_t_2,log_num_drug_death_t_3,num_drug_crime_t_1,num_drug_crime_state_t_1,is_sup_all_drug_death_t_1,crime_grav_drug_t_1,fent_rt_t_1,num_drug_crime_t_2,num_drug_crime_state_t_2,is_sup_all_drug_death_t_2,crime_grav_drug_t_2,fent_rt_t_2,num_drug_crime_t_3,num_drug_crime_state_t_3,is_sup_all_drug_death_t_3,crime_grav_drug_t_3,fent_rt_t_3,num_primary_care_physicians,poor_fair_health,poor_physical_health_days,adult_smoking,adult_obesity,unemployment,uninsured_adults,high_school_graduation,gini,hmi,Population,is_ruca_1,is_ruca_2,is_ruca_3,is_ruca_4,is_ruca_5,is_ruca_7,is_ruca_8,is_ruca_9,lat,long,is_CT,is_DE,is_KY,is_MA,is_ME,is_NH,is_OH,is_RI,is_TN,is.stateborder,num_drug_death_t_3_x_num_drug_crime_t_3,num_drug_death_t_2_x_num_drug_crime_t_2,num_drug_death_t_1_x_num_drug_crime_t_1,num_drug_death_t_3_x_fent_rt_t_3,num_drug_death_t_2_x_fent_rt_t_2,num_drug_death_t_1_x_fent_rt_t_1,log_num_drug_death_t_3_x_num_drug_crime_t_3,log_num_drug_death_t_2_x_num_drug_crime_t_2,log_num_drug_death_t_1_x_num_drug_crime_t_1,log_num_drug_death_t_3_x_fent_rt_t_3,log_num_drug_death_t_2_x_fent_rt_t_2,log_num_drug_death_t_1_x_fent_rt_t_1
9001,114,2013,81,70,61,4.406719247,4.262679877,4.127134385,0.957831948,0.131334042,0,0.881935998,0.000539374,0.957142365,0.154178727,0,0.897821715,0,1,0.167735317,0,0.901673733,0.001006543,1,0.242777562,0.2946593,0.197248331,0.014150943,0.474735192,0.496782595,0.789022622,1,1,1,0,1,0,0,0,0,0,0,41.228103,-73.366757,1,0,0,0,0,0,0,0,0,1,61,66.99996552,77.58438782,0.061399094,0,0.04368932,4.127134385,4.079991497,4.220896483,0.004154136,0,0.002376871
9003,152,2013,116,95,84,4.762173935,4.564348191,4.442651256,1,0.131334042,0,0.889482877,0.000539374,1,0.154178727,0,0.900241899,0,1,0.167735317,0,0.90177698,0.001006543,1,0.232283975,0.325352977,0.321890751,0.237421384,0.575628252,0.427680228,0.696735683,0.73236369,0.763346462,1,1,0,0,0,0,0,0,0,41.806053,-72.732916,1,0,0,0,0,0,0,0,0,1,84,95,116,0.084549572,0,0.062567422,4.442651256,4.564348191,4.762173935,0.004471717,0,0.002568594
9005,39,2013,25,16,21,3.258096538,2.833213344,3.091042453,0.173085543,0.131334042,0,0.902689676,0.000539374,0.157914698,0.154178727,0,0.91680816,0,0.178602214,0.167735317,0,0.924072962,0.001006543,0.338836478,0.205337479,0.357888275,0.376924125,0.124213836,0.506264274,0.396133495,0.700299444,0.562309553,0.879891882,0.401481775,0,0,0,1,0,0,0,0,41.791897,-73.235428,1,0,0,0,0,0,0,0,0,1,3.750646485,2.526635176,4.327138572,0.021137393,0,0.013484358,0.552067024,0.447406031,0.563929408,0.003111266,0,0.001757334
9007,21,2013,29,22,26,3.401197382,3.135494216,3.295836866,0.320656484,0.131334042,0,0.954557333,0.000539374,0.331689825,0.154178727,0,0.973573951,0,0.271006448,0.167735317,0,0.979156371,0.001006543,0.353773585,0.200673662,0.283609576,0.295600054,0.212264151,0.414829938,0.351066734,0.812480822,0.520214871,0.981251235,0.352060371,1,0,0,0,0,0,0,0,41.434525,-72.524227,1,0,0,0,0,0,0,0,0,0,7.046167638,7.297176154,9.299038031,0.026170106,0,0.015641855,0.893193041,1.040011528,1.090615993,0.0033174,0,0.001834519
9009,159,2013,109,130,116,4.700480366,4.875197323,4.762173935,1,0.131334042,0,0.900165134,0.000539374,1,0.154178727,0,0.908457749,0,1,0.167735317,0,0.911644941,0.001006543,1,0.29589325,0.385512584,0.360305136,0.353773585,0.600851517,0.451715834,0.64536751,0.716866145,0.704999831,1,0,1,0,0,0,0,0,0,41.349717,-72.900204,1,0,0,0,0,0,0,0,0,0,116,130,109,0.116758933,0,0.058791802,4.762173935,4.875197323,4.700480366,0.004793331,0,0.002535318
9011,63,2013,48,39,30,3.891820298,3.688879454,3.433987204,0.244802262,0.131334042,0,0.877424761,0.000539374,0.452366997,0.154178727,0,0.88832432,0,0.469606592,0.167735317,0,0.889100381,0.001006543,0.464622642,0.236818241,0.34315531,0.423920447,0.248427673,0.493652641,0.381111241,0.757157744,0.472884533,0.805623183,0.584669728,0,1,0,0,0,0,0,0,41.47863,-72.103452,1,0,0,0,0,0,0,0,0,1,14.08819777,17.64231286,11.75050857,0.030196276,0,0.025889968,1.61262303,1.668727319,0.952726412,0.003456454,0,0.002099148
9013,13,2013,16,13,0,2.833213344,2.63905733,0,0.262041858,0.131334042,0,0.919320039,0.000539374,0.252387684,0.154178727,0,0.938544217,0,0.268248112,0.167735317,1,0.945385093,0.001006543,0.229559748,0.170747506,0.305709024,0.301321346,0.194968553,0.417982846,0.379609016,0.772009254,0.298223018,1,0.32296036,1,0,0,0,0,0,0,0,41.858076,-72.340977,1,0,0,0,0,0,0,0,0,1,0,3.281039892,4.192669724,0,0,0.008629989,0,0.666065567,0.742420488,0,0,0.001528163
9015,21,2013,15,17,18,2.772588722,2.890371758,2.944438979,0.104127159,0.131334042,0,0.872676946,0.000539374,0.1365376,0.154178727,0,0.890157452,0,0.116539668,0.167735317,0,0.895752522,0.001006543,0.157232704,0.285011012,0.459791283,0.508650048,0.495283019,0.626074782,0.438195806,0.587170796,0.385763202,0.643445646,0.249422315,0,1,0,0,0,0,0,0,41.824999,-71.990702,1,0,0,0,0,0,0,0,0,1,2.09771403,2.321139192,1.561907389,0.018117765,0,0.008090615,0.343143942,0.394644422,0.288701787,0.002963703,0,0.001495463
10001,33,2013,32,33,27,3.496507561,3.526360525,3.33220451,0.353756508,0.085608031,0,0.838095945,0,0.347550253,0.086890411,0,0.836559601,0,0.367548185,0.083831019,0,0.836675861,0,0.178459119,0.387226325,0.470841007,0.57798665,0.669811321,0.465276468,0.550862709,0.650849121,0.355605818,0.569742608,0.350231223,0,0,1,0,0,0,0,0,39.097088,-75.502982,0,1,0,0,0,0,0,0,0,1,9.923800986,11.46915836,11.32020825,0,0,0,1.224745719,1.225587494,1.236912305,0,0,0
10003,97,2013,81,88,84,4.406719247,4.48863637,4.442651256,1,0.085608031,0,0.685488444,0,1,0.086890411,0,0.682733795,0,1,0.083831019,0,0.686544715,0,1,0.269724058,0.377532228,0.423103119,0.429245283,0.477888101,0.442702482,0.614784518,0.620739484,0.767852465,1,1,0,0,0,0,0,0,0,39.575915,-75.644132,0,1,0,0,0,0,0,0,0,1,84,88,81,0,0,0,4.442651256,4.48863637,4.406719247,0,0,0
